time,latitude,longitude,depth,mag,magType,id,place,type,status,region,influence
2009-05-28 08:24:46.560000+00:00,16.730999999999998,-86.21700000000001,19.0,7.3,mwc,usp000gxkj,offshore Honduras,earthquake,reviewed,offshore Honduras,7.3
2009-03-19 18:17:40.470000+00:00,-23.043000000000006,-174.66,31.0,7.6,mwc,usp000gv5p,Tonga region,earthquake,reviewed,Tonga region,7.6
2009-02-11 17:34:50.490000+00:00,3.886,126.387,20.0,7.2,mwc,usp000gtnc,"Kepulauan Talaud, Indonesia",earthquake,reviewed,Indonesia,7.2
2009-01-15 17:49:39.070000+00:00,46.857,155.154,36.0,7.4,mwc,usp000gsmz,east of the Kuril Islands,earthquake,reviewed,east of the Kuril Islands,7.4
2009-01-03 22:33:40.290000+00:00,-0.691,133.305,23.0,7.4,mwc,usp000gs3t,"near the north coast of Papua, Indonesia",earthquake,reviewed,Indonesia,7.4
2009-01-03 19:43:50.650000+00:00,-0.414,132.885,17.0,7.7,mwc,usp000gs2d,"near the north coast of Papua, Indonesia",earthquake,reviewed,Indonesia,7.7
2008-11-24 09:02:58.760000+00:00,54.203,154.322,492.3,7.3,mwc,usp000gpbs,Sea of Okhotsk,earthquake,reviewed,Sea of Okhotsk,7.3
2008-11-16 17:02:32.700000+00:00,1.271,122.091,30.0,7.4,mww,usp000gnur,"Minahasa, Sulawesi, Indonesia",earthquake,reviewed,Indonesia,7.4
2008-07-05 02:12:04.480000+00:00,53.882,152.886,632.8,7.7,mwc,usp000gbc0,Sea of Okhotsk,earthquake,reviewed,Sea of Okhotsk,7.7
2010-06-12 19:26:50.460000+00:00,7.881,91.936,35.0,7.5,mwc,usp000hdwb,"Nicobar Islands, India region",earthquake,reviewed,India region,7.5
2010-05-27 17:14:46.570000+00:00,-13.698,166.643,31.0,7.2,mwc,usp000hd84,Vanuatu,earthquake,reviewed,Vanuatu,7.2
2010-05-09 05:59:41.620000+00:00,3.748,96.018,38.0,7.2,mwc,usp000hchk,"northern Sumatra, Indonesia",earthquake,reviewed,Indonesia,7.2
