latitude,longitude,mag,latlon
-21.712,-176.28,4.5,"-176.28,-21.712"
-4.967,151.31,4.5,"151.31,-4.967"
40.9737,77.1594,4.5,"77.1594,40.9737"
42.148,84.47200000000002,4.7,"84.47200000000002,42.148"
32.64,57.49,4.5,"57.49,32.64"
-30.506,-72.366,4.7,"-72.366,-30.506"
-6.1544,154.5342,5.2,"154.5342,-6.1544"
-2.972,134.382,4.7,"134.382,-2.972"
57.457,-32.9134,4.8,"-32.9134,57.457"
9.232,93.728,4.6,"93.728,9.232"
8.658,125.869,4.6,"125.869,8.658"
-10.2112,-75.4051,4.6,"-75.4051,-10.2112"
-5.916,151.30700000000004,4.9,"151.30700000000004,-5.916"
61.972,-26.632,4.5,"-26.632,61.972"
2.297,128.30200000000002,4.8,"128.30200000000002,2.297"
-15.5969,-174.3054,4.5,"-174.3054,-15.5969"
-12.6684,166.1893,5.8,"166.1893,-12.6684"
-20.513,169.0744,4.6,"169.0744,-20.513"
-24.3877,-116.1421,5.0,"-116.1421,-24.3877"
-3.609,100.833,5.0,"100.833,-3.609"
38.659,69.96,5.1,"69.96,38.659"
38.3755,144.9971,4.8,"144.9971,38.3755"
22.493,-44.96,4.6,"-44.96,22.493"
-16.8558,-179.1899,4.5,"-179.1899,-16.8558"
52.7553,-174.382,4.6,"-174.382,52.7553"
36.743,9.799,4.5,"9.799,36.743"
-20.294,67.928,4.7,"67.928,-20.294"
-4.262,129.673,4.5,"129.673,-4.262"
-6.261,103.748,4.6,"103.748,-6.261"
35.41300000000001,142.947,4.5,"142.947,35.41300000000001"
-20.361,169.02599999999995,4.9,"169.02599999999995,-20.361"
-7.4378,154.9865,5.1,"154.9865,-7.4378"
9.1957,138.387,4.6,"138.387,9.1957"
39.086,140.512,4.5,"140.512,39.086"
32.765,78.197,5.0,"78.197,32.765"
0.4947,-79.616,6.9,"-79.616,0.4947"
-33.256,-178.72099999999998,4.7,"-178.72099999999998,-33.256"
-19.842,168.213,5.0,"168.213,-19.842"
22.355,143.5,4.6,"143.5,22.355"
3.666,126.455,4.6,"126.455,3.666"
-23.8787,-179.6936,4.5,"-179.6936,-23.8787"
-9.516,117.208,4.5,"117.208,-9.516"
-0.878,-21.194000000000006,6.8,"-21.194000000000006,-0.878"
13.34,-89.70700000000002,5.2,"-89.70700000000002,13.34"
-30.5548,-178.4924,5.9,"-178.4924,-30.5548"
-31.948,-178.503,4.6,"-178.503,-31.948"
-20.0365,66.5565,4.8,"66.5565,-20.0365"
-2.309,138.262,4.9,"138.262,-2.309"
35.841,69.29,4.6,"69.29,35.841"
-9.305,153.89600000000004,5.2,"153.89600000000004,-9.305"
31.189,138.63299999999998,4.5,"138.63299999999998,31.189"
-8.052999999999999,30.273000000000003,4.7,"30.273000000000003,-8.052999999999999"
14.300999999999998,146.912,4.6,"146.912,14.300999999999998"
-31.947,-67.738,4.9,"-67.738,-31.947"
-24.2886,-67.0035,4.6,"-67.0035,-24.2886"
-10.302,-74.497,4.5,"-74.497,-10.302"
13.9824,-92.1746,4.5,"-92.1746,13.9824"
22.992,95.959,4.9,"95.959,22.992"
-64.626,175.428,4.7,"175.428,-64.626"
46.246,153.219,4.9,"153.219,46.246"
-23.528,-175.362,4.7,"-175.362,-23.528"
-23.0534,69.1441,4.8,"69.1441,-23.0534"
-52.08,139.505,5.4,"139.505,-52.08"
38.47,20.49,4.8,"20.49,38.47"
38.731,20.5997,4.8,"20.5997,38.731"
27.509,130.086,4.8,"130.086,27.509"
-9.27,124.232,4.7,"124.232,-9.27"
37.1908,144.4065,4.5,"144.4065,37.1908"
-22.2271,170.2029,5.8,"170.2029,-22.2271"
35.761,67.77,4.6,"67.77,35.761"
5.973,126.681,4.8,"126.681,5.973"
3.9121,126.7554,4.6,"126.7554,3.9121"
-29.6411,-72.077,6.1,"-72.077,-29.6411"
29.725,131.07,4.7,"131.07,29.725"
-22.614,171.854,4.7,"171.854,-22.614"
40.046,142.77700000000004,5.7,"142.77700000000004,40.046"
38.691,144.399,4.8,"144.399,38.691"
-27.913,-66.405,4.5,"-66.405,-27.913"
18.219,-99.593,4.7,"-99.593,18.219"
40.551,-29.462,4.6,"-29.462,40.551"
-53.4096,23.8802,4.6,"23.8802,-53.4096"
-26.653,-176.25400000000005,4.7,"-176.25400000000005,-26.653"
51.4224,-175.1775,5.5,"-175.1775,51.4224"
-14.595999999999998,-75.902,4.8,"-75.902,-14.595999999999998"
3.282,128.088,5.7,"128.088,3.282"
46.051,153.438,4.7,"153.438,46.051"
-6.597,154.89700000000005,4.6,"154.89700000000005,-6.597"
13.304,92.342,4.9,"92.342,13.304"
24.1451,-108.5609,5.3,"-108.5609,24.1451"
-20.2656,-70.828,4.5,"-70.828,-20.2656"
-17.7132,-178.5994,4.5,"-178.5994,-17.7132"
-29.9869,-177.22799999999995,4.6,"-177.22799999999995,-29.9869"
46.768,153.139,4.7,"153.139,46.768"
-3.1060000000000003,148.156,5.3,"148.156,-3.1060000000000003"
10.8087,-86.641,4.5,"-86.641,10.8087"
-8.437999999999999,118.387,5.2,"118.387,-8.437999999999999"
-23.297,179.312,4.9,"179.312,-23.297"
-38.8126,-91.5512,4.8,"-91.5512,-38.8126"
-4.084,129.689,4.6,"129.689,-4.084"
-5.505,153.102,4.7,"153.102,-5.505"
-45.633,-76.495,5.3,"-76.495,-45.633"
-24.1751,-66.954,4.5,"-66.954,-24.1751"
3.7587,126.9992,4.6,"126.9992,3.7587"
-7.141,130.576,5.1,"130.576,-7.141"
8.0082,126.591,5.0,"126.591,8.0082"
-17.616,168.09099999999995,5.2,"168.09099999999995,-17.616"
-20.174,-174.06400000000005,4.8,"-174.06400000000005,-20.174"
-23.101,69.337,4.5,"69.337,-23.101"
11.988,142.901,5.3,"142.901,11.988"
-7.189,155.727,5.2,"155.727,-7.189"
15.309,-93.082,4.6,"-93.082,15.309"
52.2072,-168.972,4.7,"-168.972,52.2072"
-20.3274,-174.6793,4.7,"-174.6793,-20.3274"
51.076,178.77700000000004,4.8,"178.77700000000004,51.076"
28.9607,142.3515,4.7,"142.3515,28.9607"
-10.824000000000002,164.558,5.1,"164.558,-10.824000000000002"
