latitude,longitude,mag,latlon
28.5199,104.7971,4.6,"104.7971,28.5199"
29.9325,105.0694,4.6,"105.0694,29.9325"
28.5145,104.9461,4.9,"104.9461,28.5145"
28.4545,104.8963,5.3,"104.8963,28.4545"
28.3971,104.9821,5.2,"104.9821,28.3971"
28.4674,104.9396,4.9,"104.9396,28.4674"
28.454,104.9589,4.9,"104.9589,28.454"
28.5018,104.9407,4.7,"104.9407,28.5018"
28.441,104.8783,5.2,"104.8783,28.441"
28.4051,104.9572,5.8,"104.9572,28.4051"
28.1566,103.6521,4.8,"103.6521,28.1566"
30.4709,103.1619,4.7,"103.1619,30.4709"
28.308000000000003,103.4269,4.5,"103.4269,28.308000000000003"
32.2365,101.8926,4.5,"101.8926,32.2365"
35.0337,101.8413,4.9,"101.8413,35.0337"
29.4699,104.6093,4.9,"104.6093,29.4699"
29.4709,104.5609,4.6,"104.5609,29.4709"
29.497,104.5382,4.9,"104.5382,29.497"
28.1278,104.9626,4.5,"104.9626,28.1278"
26.7955,99.4683,4.5,"99.4683,26.7955"
28.1902,104.9182,4.8,"104.9182,28.1902"
26.4496,96.6002,4.7,"96.6002,26.4496"
28.2948,105.0128,5.3,"105.0128,28.2948"
29.6624,98.825,4.7,"98.825,29.6624"
29.7432,98.7762,5.1,"98.7762,29.7432"
27.1986,96.9185,5.4,"96.9185,27.1986"
27.7933,102.2196,5.1,"102.2196,27.7933"
28.15,103.5462,4.5,"103.5462,28.15"
26.1495,102.2525,4.5,"102.2525,26.1495"
29.365,104.4998,4.5,"104.4998,29.365"
32.7234,105.6616,5.0,"105.6616,32.7234"
27.5438,104.0108,4.7,"104.0108,27.5438"
27.526999999999997,103.9975,4.8,"103.9975,27.526999999999997"
27.276,104.0029,4.5,"104.0029,27.276"
29.5219,104.5491,4.7,"104.5491,29.5219"
30.3108,97.0786,4.5,"97.0786,30.3108"
32.2028,104.6042,4.8,"104.6042,32.2028"
27.1823,96.9851,4.9,"96.9851,27.1823"
29.4033,102.3732,4.6,"102.3732,29.4033"
28.2104,103.5613,4.7,"103.5613,28.2104"
34.5599,96.5154,5.0,"96.5154,34.5599"
34.5942,96.5238,4.7,"96.5238,34.5942"
26.4448,96.9676,4.9,"96.9676,26.4448"
32.3391,105.19200000000001,4.8,"105.19200000000001,32.3391"
30.408,96.9096,4.5,"96.9096,30.408"
35.0011,101.7982,4.7,"101.7982,35.0011"
35.149,101.8832,5.0,"101.8832,35.149"
29.3489,108.0576,5.1,"108.0576,29.3489"
32.0922,104.5939,4.7,"104.5939,32.0922"
31.5074,104.1405,4.7,"104.1405,31.5074"
33.1937,103.7094,4.8,"103.7094,33.1937"
34.9094,103.2877,5.0,"103.2877,34.9094"
32.2813,105.0428,5.1,"105.0428,32.2813"
27.9136,101.6912,4.7,"101.6912,27.9136"
33.3453,103.8816,4.6,"103.8816,33.3453"
33.2437,103.807,4.8,"103.807,33.2437"
33.2638,103.7895,4.8,"103.7895,33.2638"
33.048,103.7529,4.7,"103.7529,33.048"
33.1926,103.8552,6.5,"103.8552,33.1926"
32.3516,105.5261,4.9,"105.5261,32.3516"
28.0901,104.9566,4.6,"104.9566,28.0901"
30.3205,96.8954,4.5,"96.8954,30.3205"
33.0191,99.0333,4.5,"99.0333,33.0191"
28.1573,104.9116,4.9,"104.9116,28.1573"
31.4786,104.1057,4.8,"104.1057,31.4786"
32.4156,104.7126,4.5,"104.7126,32.4156"
25.9382,99.8406,5.0,"99.8406,25.9382"
25.8832,99.8842,4.6,"99.8842,25.8832"
27.204,103.5744,4.8,"103.5744,27.204"
31.0068,103.652,4.5,"103.652,31.0068"
27.303,103.4248,4.9,"103.4248,27.303"
28.1777,104.7993,4.6,"104.7993,28.1777"
28.1832,104.8275,5.3,"104.8275,28.1832"
28.1707,104.8738,4.9,"104.8738,28.1707"
28.0958,104.765,4.5,"104.765,28.0958"
29.7448,102.2706,4.7,"102.2706,29.7448"
29.4732,105.7319,4.9,"105.7319,29.4732"
28.0362,101.4146,4.7,"101.4146,28.0362"
32.5488,104.0662,4.7,"104.0662,32.5488"
29.6438,101.9644,4.5,"101.9644,29.6438"
30.1727,99.609,4.9,"99.609,30.1727"
30.1768,99.6502,5.3,"99.6502,30.1768"
30.1048,99.7368,4.7,"99.7368,30.1048"
30.1819,99.6908,5.2,"99.6908,30.1819"
27.2224,96.8182,4.5,"96.8182,27.2224"
27.09,103.6535,4.6,"103.6535,27.09"
27.1902,103.4697,4.7,"103.4697,27.1902"
30.3812,98.3154,4.6,"98.3154,30.3812"
31.8459,104.4375,4.8,"104.4375,31.8459"
31.5785,103.3752,4.6,"103.3752,31.5785"
26.0846,99.575,4.8,"99.575,26.0846"
26.0476,99.492,4.9,"99.492,26.0476"
29.6372,102.2029,4.5,"102.2029,29.6372"
29.6153,101.9619,4.8,"101.9619,29.6153"
29.654,102.0897,4.6,"102.0897,29.654"
29.8667,98.0065,4.7,"98.0065,29.8667"
28.0616,101.4009,4.7,"101.4009,28.0616"
30.4216,99.8575,4.6,"99.8575,30.4216"
26.0834,99.5903,4.6,"99.5903,26.0834"
29.4466,104.1184,4.6,"104.1184,29.4466"
28.3819,104.9701,4.6,"104.9701,28.3819"
27.55,100.3,4.7,"100.3,27.55"
30.1517,98.0584,4.8,"98.0584,30.1517"
29.2072,102.1703,4.7,"102.1703,29.2072"
34.2965,98.2297,5.1,"98.2297,34.2965"
32.5158,105.3805,4.7,"105.3805,32.5158"
27.6703,100.2728,4.6,"100.2728,27.6703"
31.9101,104.4726,4.6,"104.4726,31.9101"
35.4362,104.584,4.6,"104.584,35.4362"
26.4644,96.5118,4.5,"96.5118,26.4644"
28.2013,106.0739,4.6,"106.0739,28.2013"
33.0669,98.9486,4.7,"98.9486,33.0669"
30.8684,102.9311,4.5,"102.9311,30.8684"
35.385999999999996,104.0004,4.5,"104.0004,35.385999999999996"
26.6884,108.8076,5.4,"108.8076,26.6884"
28.3512,104.8941,5.0,"104.8941,28.3512"
34.766,98.9802,4.7,"98.9802,34.766"
28.4383,104.8748,4.6,"104.8748,28.4383"
31.7459,104.2804,4.5,"104.2804,31.7459"
29.3525,103.1991,5.3,"103.1991,29.3525"
30.2867,103.3265,4.5,"103.3265,30.2867"
28.0876,101.8508,4.5,"101.8508,28.0876"
30.1884,101.7618,5.6,"101.7618,30.1884"
32.108000000000004,104.5657,4.5,"104.5657,32.108000000000004"
34.3664,102.3621,4.5,"102.3621,34.3664"
30.3398,101.7374,5.9,"101.7374,30.3398"
33.0825,101.3339,4.6,"101.3339,33.0825"
27.1132,103.5467,4.6,"103.5467,27.1132"
34.2509,102.348,4.5,"102.348,34.2509"
27.1694,97.0744,4.7,"97.0744,27.1694"
30.1975,102.9603,4.7,"102.9603,30.1975"
28.3998,102.7906,5.1,"102.7906,28.3998"
27.1324,103.4737,4.5,"103.4737,27.1324"
32.5713,105.3326,4.6,"105.3326,32.5713"
27.1556,103.5516,4.7,"103.5516,27.1556"
27.0989,103.5564,4.6,"103.5564,27.0989"
28.1525,103.5911,4.6,"103.5911,28.1525"
28.1851,103.7061,4.7,"103.7061,28.1851"
28.1251,103.5463,5.0,"103.5463,28.1251"
34.8385,98.9259,4.8,"98.9259,34.8385"
31.8585,104.2248,4.7,"104.2248,31.8585"
27.1939,103.3072,4.6,"103.3072,27.1939"
27.1612,103.4425,4.6,"103.4425,27.1612"
27.1502,103.4774,4.7,"103.4774,27.1502"
27.2425,103.3889,4.6,"103.3889,27.2425"
27.1625,103.3621,4.5,"103.3621,27.1625"
27.1891,103.4086,6.2,"103.4086,27.1891"
31.4568,105.3103,4.5,"105.3103,31.4568"
31.497,105.2173,4.7,"105.2173,31.497"
31.5244,104.1334,4.5,"104.1334,31.5244"
29.5886,103.0098,4.5,"103.0098,29.5886"
31.1783,103.5921,4.7,"103.5921,31.1783"
32.4987,105.1835,5.0,"105.1835,32.4987"
30.2992,102.9554,4.6,"102.9554,30.2992"
26.0417,100.6494,4.5,"100.6494,26.0417"
28.3821,104.9656,4.7,"104.9656,28.3821"
31.7343,103.3136,4.6,"103.3136,31.7343"
28.1736,103.6189,5.4,"103.6189,28.1736"
26.1904,100.7567,4.5,"100.7567,26.1904"
27.4652,96.9988,4.5,"96.9988,27.4652"
25.8578,100.6549,4.5,"100.6549,25.8578"
26.9059,101.1773,4.8,"101.1773,26.9059"
30.2901,102.9641,4.6,"102.9641,30.2901"
32.1911,105.0381,4.5,"105.0381,32.1911"
28.1744,99.2997,4.5,"99.2997,28.1744"
26.3683,103.2016,4.6,"103.2016,26.3683"
28.0938,102.8744,4.6,"102.8744,28.0938"
32.0096,104.4756,5.0,"104.4756,32.0096"
28.2649,99.4911,4.9,"99.4911,28.2649"
28.2704,99.2852,4.6,"99.2852,28.2704"
29.997,99.7169,4.6,"99.7169,29.997"
28.2123,99.3107,4.6,"99.3107,28.2123"
28.2199,99.3432,5.0,"99.3432,28.2199"
28.2316,99.4322,4.9,"99.4322,28.2316"
28.2425,99.3502,5.6,"99.3502,28.2425"
28.3438,99.36399999999999,4.5,"99.36399999999999,28.3438"
28.239,99.3276,5.2,"99.3276,28.239"
31.7105,99.0083,4.8,"99.0083,31.7105"
30.1514,97.9591,4.9,"97.9591,30.1514"
30.0468,98.0755,4.5,"98.0755,30.0468"
30.0761,97.9241,5.1,"97.9241,30.0761"
29.976,97.9127,4.9,"97.9127,29.976"
30.0464,97.9565,5.7,"97.9565,30.0464"
30.0293,98.0134,4.7,"98.0134,30.0293"
30.0867,98.0027,4.5,"98.0027,30.0867"
30.0628,97.9753,4.8,"97.9753,30.0628"
31.7411,103.2459,4.5,"103.2459,31.7411"
34.5437,104.2362,4.6,"104.2362,34.5437"
33.001999999999995,104.92,4.6,"104.92,33.001999999999995"
34.529,104.176,5.4,"104.176,34.529"
34.551,104.39200000000001,4.9,"104.39200000000001,34.551"
34.512,104.262,5.9,"104.262,34.512"
25.9,99.009,4.7,"99.009,25.9"
29.214000000000002,100.072,4.7,"100.072,29.214000000000002"
32.515,105.163,4.7,"105.163,32.515"
30.339000000000002,102.984,4.6,"102.984,30.339000000000002"
31.711,104.18,4.7,"104.18,31.711"
28.381999999999998,104.956,5.3,"104.956,28.381999999999998"
30.288,103.156,4.7,"103.156,30.288"
30.396,103.021,4.6,"103.021,30.396"
30.236,102.96799999999999,4.5,"102.96799999999999,30.236"
30.229,102.962,4.6,"102.962,30.229"
30.316999999999997,102.99799999999999,5.2,"102.99799999999999,30.316999999999997"
30.225,103.015,5.0,"103.015,30.225"
30.339000000000002,103.06,5.1,"103.06,30.339000000000002"
30.36,103.084,4.6,"103.084,30.36"
30.21,102.92200000000001,4.5,"102.92200000000001,30.21"
30.194000000000003,102.993,4.6,"102.993,30.194000000000003"
30.366,103.051,4.8,"103.051,30.366"
30.394000000000002,103.133,4.5,"103.133,30.394000000000002"
30.372,102.985,4.5,"102.985,30.372"
30.186999999999998,102.95,5.1,"102.95,30.186999999999998"
30.272,103.111,4.6,"103.111,30.272"
30.326999999999998,103.05,4.5,"103.05,30.326999999999998"
30.151,102.95200000000001,4.8,"102.95200000000001,30.151"
30.281999999999996,102.99799999999999,5.1,"102.99799999999999,30.281999999999996"
30.34,103.04899999999999,4.6,"103.04899999999999,30.34"
30.287,103.05799999999999,4.8,"103.05799999999999,30.287"
30.209,102.86200000000001,5.0,"102.86200000000001,30.209"
30.263,102.97,4.6,"102.97,30.263"
30.255,102.991,4.9,"102.991,30.255"
30.215,102.969,4.8,"102.969,30.215"
30.401,103.119,4.8,"103.119,30.401"
30.308000000000003,102.88799999999999,6.6,"102.88799999999999,30.308000000000003"
25.953000000000003,99.78200000000001,5.1,"99.78200000000001,25.953000000000003"
31.338,103.738,4.5,"103.738,31.338"
25.98,99.81200000000001,5.2,"99.81200000000001,25.98"
31.289,105.221,4.9,"105.221,31.289"
28.373,104.95700000000001,4.7,"104.95700000000001,28.373"
27.226,103.071,4.9,"103.071,27.226"
28.004,104.23700000000001,4.6,"104.23700000000001,28.004"
31.515,103.37700000000001,4.5,"103.37700000000001,31.515"
31.055999999999997,99.546,5.4,"99.546,31.055999999999997"
29.348000000000003,105.271,4.6,"105.271,29.348000000000003"
27.103,102.86,4.9,"102.86,27.103"
31.87,104.28,4.8,"104.28,31.87"
26.601,102.76299999999999,4.7,"102.76299999999999,26.601"
29.336,105.25399999999999,4.9,"105.25399999999999,29.336"
29.291,105.32700000000001,4.6,"105.32700000000001,29.291"
27.636,104.027,4.7,"104.027,27.636"
27.683000000000003,104.145,4.7,"104.145,27.683000000000003"
27.572,104.007,5.3,"104.007,27.572"
27.576,104.051,4.8,"104.051,27.576"
27.575,103.98299999999999,5.5,"103.98299999999999,27.575"
28.453000000000003,104.87899999999999,4.6,"104.87899999999999,28.453000000000003"
30.884,103.512,4.6,"103.512,30.884"
29.307,102.973,4.8,"102.973,29.307"
27.767,100.781,5.5,"100.781,27.767"
28.111,104.416,4.7,"104.416,28.111"
31.543000000000003,104.117,4.6,"104.117,31.543000000000003"
29.318,100.088,4.9,"100.088,29.318"
31.279,103.81,4.8,"103.81,31.279"
32.661,105.479,4.6,"105.479,32.661"
27.408,103.348,4.6,"103.348,27.408"
30.163,97.50299999999999,4.7,"97.50299999999999,30.163"
30.118000000000002,97.41799999999999,4.8,"97.41799999999999,30.118000000000002"
34.538000000000004,104.17200000000001,5.0,"104.17200000000001,34.538000000000004"
32.531,105.319,5.0,"105.319,32.531"
32.28,104.819,4.8,"104.819,32.28"
31.194000000000003,103.765,4.5,"103.765,31.194000000000003"
26.521,96.74799999999999,4.5,"96.74799999999999,26.521"
29.326,101.081,4.7,"101.081,29.326"
31.835,104.208,4.8,"104.208,31.835"
32.503,105.421,5.0,"105.421,32.503"
31.243000000000002,103.727,4.7,"103.727,31.243000000000002"
33.768,98.941,4.5,"98.941,33.768"
26.686,103.05799999999999,4.8,"103.05799999999999,26.686"
31.373,100.757,5.4,"100.757,31.373"
31.563000000000002,104.15899999999999,4.7,"104.15899999999999,31.563000000000002"
34.415,103.85700000000001,4.6,"103.85700000000001,34.415"
27.255,103.02799999999999,4.8,"103.02799999999999,27.255"
32.205,104.477,4.8,"104.477,32.205"
27.234,103.04899999999999,4.6,"103.04899999999999,27.234"
32.496,105.21600000000001,4.8,"105.21600000000001,32.496"
30.114,99.56700000000001,4.6,"99.56700000000001,30.114"
32.121,104.648,4.7,"104.648,32.121"
28.031,104.212,5.0,"104.212,28.031"
29.335,105.47200000000001,4.7,"105.47200000000001,29.335"
27.197,103.005,4.9,"103.005,27.197"
26.329,96.99799999999999,4.6,"96.99799999999999,26.329"
32.313,104.90799999999999,4.8,"104.90799999999999,32.313"
31.807,104.22399999999999,4.9,"104.22399999999999,31.807"
31.151999999999997,103.54700000000001,5.0,"103.54700000000001,31.151999999999997"
30.432,101.42399999999999,5.1,"101.42399999999999,30.432"
33.061,96.647,4.9,"96.647,33.061"
33.016999999999996,96.946,4.6,"96.946,33.016999999999996"
33.071,96.617,5.0,"96.617,33.071"
32.955,97.09899999999999,4.5,"97.09899999999999,32.955"
33.126,96.546,5.2,"96.546,33.126"
32.891999999999996,96.814,4.9,"96.814,32.891999999999996"
32.925,96.86,5.4,"96.86,32.925"
33.165,96.54799999999999,6.9,"96.54799999999999,33.165"
33.16,96.712,4.9,"96.712,33.16"
31.215999999999998,103.546,4.7,"103.546,31.215999999999998"
31.915,104.375,4.5,"104.375,31.915"
32.302,105.171,5.0,"105.171,32.302"
31.204,103.62200000000001,4.5,"103.62200000000001,31.204"
30.268,105.66799999999999,5.1,"105.66799999999999,30.268"
26.29,99.866,5.0,"99.866,26.29"
27.151,100.895,4.5,"100.895,27.151"
31.186,103.787,4.9,"103.787,31.186"
30.959,103.38600000000001,4.6,"103.38600000000001,30.959"
28.955,105.641,4.6,"105.641,28.955"
25.962,100.825,4.9,"100.825,25.962"
32.522,105.238,5.2,"105.238,32.522"
34.898,99.45700000000001,5.1,"99.45700000000001,34.898"
31.971,104.61,5.1,"104.61,31.971"
32.838,105.51899999999999,4.9,"105.51899999999999,32.838"
31.765,104.181,4.6,"104.181,31.765"
